,id_title,protagonists
1012,180,Michael Gambon
1013,180,Claire Bloom
1014,181,Leonardo DiCaprio
1015,181,Ken Watanabe
1016,181,Joseph Gordon-Levitt
1017,181,Marion Cotillard
1018,181,Elliot Page[a]
1019,181,Tom Hardy
1020,181,Cillian Murphy
1021,181,Tom Berenger
1022,181,Michael Caine
1023,182,Jesse Eisenberg
1024,182,Andrew Garfield
1025,182,Justin Timberlake
1026,182,Armie Hammer
1027,182,Max Minghella
1028,183,Mark Wahlberg
1029,183,Christian Bale
1030,183,Amy Adams
1031,183,Melissa Leo
1032,184,Tom Hanks
1033,184,Tim Allen
1034,184,Joan Cusack
1035,184,Don Rickles
1036,184,Wallace Shawn
1037,184,John Ratzenberger
1038,184,Estelle Harris
1039,184,Ned Beatty
1040,184,Michael Keaton
1041,184,Jodi Benson
1042,184,John Morris
1043,185,Johnny Depp
1044,185,Anne Hathaway
1045,185,Helena Bonham Carter
1046,185,Crispin Glover
1047,185,Matt Lucas
1048,185,Mia Wasikowska
1049,185,Alan Rickman
1050,185,Stephen Fry
1051,185,Michael Sheen
1052,185,Timothy Spall
1053,186,Natalie Portman
1054,186,Vincent Cassel
1055,186,Mila Kunis
1056,186,Barbara Hershey
1057,186,Winona Ryder
1058,187,Mikael Persbrandt
1059,187,Trine Dyrholm
1060,187,Ulrich Thomsen
1061,187,Markus Rygaard
1062,187,Juels Nielsen
1063,188,Sin datos
1064,189,Luke Matheny
1065,189,Christopher Hirsh
1066,189,Marian Brock
1067,189,Emily Young
1068,189,Miguel Rosales
1069,189,Elizabeth Olin
1070,189,Francesca Mclaughlin
1071,189,Mark Gessner
1072,189,David Ross
1073,189,Andrea Mustain
1074,189,Priya Dewan
1075,190,Benicio del Toro
1076,190,Anthony Hopkins
1077,190,Emily Blunt
1078,190,Hugo Weaving
1079,191,Sin datos
1080,192,Sin datos
1081,193,Jeremy Renner
1082,193,Anthony Mackie
1083,193,Brian Geraghty
1084,193,Evangeline Lilly
1085,193,Ralph Fiennes
1086,193,David Morse
1087,193,Guy Pearce
1088,194,Sam Worthington
1089,194,Zoe Saldana
1090,194,Stephen Lang
1091,194,Michelle Rodriguez
1092,194,Sigourney Weaver
